Запрос,Кол-во сессий с поиском,Кол-во пользователей поиска,Сесиий с добавлением,Кол-во заказов с поиска,GMV поиска,CR в добавление,Доля переходов в заказ,CR с поиска в заказ,Тип пользователя
насос вибрационные,3,3,1,1,2047,0.3333333333333333,1,0.3333333333333333,0
телескопический подъемник grost single 0.125-9 accumulator 200035,3,3,1,1,530000,0.3333333333333333,1,0.3333333333333333,0
линейка shinwa pickup, матовая, 15см м00008040,3,3,2,1,18574,0.3333333333333333,0.5,0.3333333333333333,0
светодиодный ручной фонарь трофи ub-101 универсальный на батарейках 1вт 1 smd+4 led 1хaa б0054034,3,3,2,1,100,0.6666666666666666,0.5,0.3333333333333333,0
угольный постфильтр atoll inline ck-2586c (2"x10"-1/4") atecrt001,3,3,1,1,716,0.3333333333333333,1,0.3333333333333333,0
шуруповерты бош,3,3,1,1,8227,0.3333333333333333,1,0.3333333333333333,0
переносная розетка bylectrica 1-местная р16-391,3,3,1,1,191,0.3333333333333333,1,0.3333333333333333,0
гвозди для нейлера 50,3,3,1,1,3268,0.3333333333333333,1,0.3333333333333333,0
гайка krepfield нержавеющая, м10, din 934, а2, шестигранная 100 шт. в упак. 934а2гайкам10-100,3,3,1,1,2114,0.3333333333333333,1,0.3333333333333333,0
краска для кожи мастер сити 30 мл, коробка, черный 001 2184001,3,3,2,1,350,0.6666666666666666,0.5,0.3333333333333333,0
насадка щелевая для пылесосов 250 мм karcher 6.906-240,3,1,1,1,699,0.3333333333333333,1,0.3333333333333333,0
stayer кусачки,3,3,2,1,266,0.6666666666666666,0.5,0.3333333333333333,0
винт госкреп din7985 м3х10, 30 шт. 6-0054730,3,3,1,1,37,0.3333333333333333,1,0.3333333333333333,0
плашка 5/16" unc 18 ниток stv 00-00000864,3,3,1,1,177,0.3333333333333333,1,0.3333333333333333,0
кабель proconnect витая пара ftp 4pr 24awg, cca, cat5e, наружный outdoor, бухта 305 м 01-0146-3,3,3,1,1,5795,0.3333333333333333,1,0.3333333333333333,0
бензопила brait,3,2,1,1,6481,0.3333333333333333,1,0.3333333333333333,0
заглушка для отверстий в металле левша d15-18 мм 6 шт., черный у8-9120.ч,3,3,1,1,102,0.3333333333333333,1,0.3333333333333333,0
штекер для прикуривателя,3,3,1,1,87,0.3333333333333333,1,0.3333333333333333,0
сетка для декорирования забора park листья, 1x1 м 999308,3,3,1,1,1112,0.3333333333333333,1,0.3333333333333333,0
отвёртки гросс,3,3,1,1,1367,0.3333333333333333,1,0.3333333333333333,0
реле напряжения на din-рейку однофазные,3,3,1,1,857,0.3333333333333333,1,0.3333333333333333,0
винт м4x6,3,3,2,1,33,0.6666666666666666,0.5,0.3333333333333333,0
уголок стм 16х16 cld01616,3,2,2,2,266,0.6666666666666666,1,0.6666666666666666,0
огнезащитная краска по металлу,3,3,1,1,6242,0.3333333333333333,1,0.3333333333333333,0
диск абразивный вогнутый обдирочно-зачистной по металлу a24rbf 125x6.0x22.23 мм berger bg bg1555,3,2,1,1,369,0.3333333333333333,1,0.3333333333333333,0
лента фум для газа,3,3,3,1,86,1,0.3333333333333333,0.3333333333333333,0
антисептик для дерева сенеж аквадекор х2-106 орегон, 2.5 кг 11050,3,3,1,1,1792,0.3333333333333333,1,0.3333333333333333,0
декоративная рамка bylectrica накладка под выключатель прозрачная, юлиг.735212.410-01,3,3,1,1,210,0.3333333333333333,1,0.3333333333333333,0
кран шаровый со штуцером,3,3,1,1,626,0.3333333333333333,1,0.3333333333333333,0
раскоксовывание двигателя lavr ml203 novator 190 мл ln2506,3,3,1,1,790,0.3333333333333333,1,0.3333333333333333,0
пропитка neomid bio color ultra орех 2,7 л н -ultra-2,7/орех,3,3,2,1,1948,0.3333333333333333,0.5,0.3333333333333333,0
atn000393,3,3,1,1,333,0.3333333333333333,1,0.3333333333333333,0
двустенная пнд,3,2,1,1,2260,0.3333333333333333,1,0.3333333333333333,0
батарея mirex, щелочная ag6 / lr921 1,5v 6 шт ecopack 23702-lr921-e6,3,3,2,1,68,0.6666666666666666,0.5,0.3333333333333333,0
алмазный диск по бетону 125,3,3,1,1,2800,0.3333333333333333,1,0.3333333333333333,0
батарейка крона 94 762 nbt-ns-6f22-sh1 1шт navigator 94762,3,3,2,1,40,0.3333333333333333,0.5,0.3333333333333333,0
знак "заземлено" стандарт знак а05, 100x200 мм, пластик 2 мм 00-00009347,3,3,2,1,124,0.6666666666666666,0.5,0.3333333333333333,0
шуруп для пенобетона rusconnect gt 08100 8x100 мм, прессшайба, torx, белый цинк, 50 шт. 620810,3,3,1,1,2481,0.3333333333333333,1,0.3333333333333333,0
daewoo dacs 821li set,3,3,1,1,15990,0.3333333333333333,1,0.3333333333333333,0
светодиодная лампа saffit sbhp1070 70w 230v e27-e40 6400k 55099,3,3,1,1,671,0.3333333333333333,1,0.3333333333333333,0
кровельная мастика технониколь,3,3,1,1,1754,0.3333333333333333,1,0.3333333333333333,0
комбинированная муфта valfex pp-r белая, 32х3/4 дюйма нр 10130132 127-0242,3,3,1,1,184,0.3333333333333333,1,0.3333333333333333,0
дюбели 14х140 мм,3,3,1,1,3920,0.3333333333333333,1,0.3333333333333333,0
grass кондиционер,3,3,1,1,170,0.3333333333333333,1,0.3333333333333333,0
шпинат аэлита исполинский ор. а, 3г 00-00571046,3,3,2,1,18,0.6666666666666666,0.5,0.3333333333333333,0
картридж для механической очистки воды гейзер эфм 10/5-10sl 26008,3,3,1,1,187,0.3333333333333333,1,0.3333333333333333,0
батарейка rexant lr58, ag11, lr721, g11, 162, gp62a, 362, sr721w 10 шт 30-1030,3,2,1,1,28,0.3333333333333333,1,0.3333333333333333,0
кухонная мраморная мойка polygran gals-620 черный №16,3,3,1,1,6230,0.3333333333333333,1,0.3333333333333333,0
батарейки sonnen alkaline, d алкалиновые, 2 шт., в блистере, 451091,3,3,1,1,246,0.3333333333333333,1,0.3333333333333333,0
кронштейн на столб,3,3,1,1,2680,0.3333333333333333,1,0.3333333333333333,0
фляга martika гранде 50 л, с ручками, белая с911бел,3,3,1,1,1447,0.3333333333333333,1,0.3333333333333333,0
краска для шифера и цоколя white line ral 8002 сигнальный коричневый, ведро 9 л/11,2 кг 4690417099436,3,1,2,1,16596,0.6666666666666666,0.5,0.3333333333333333,0
мультитулс,3,3,1,1,2284,0.3333333333333333,1,0.3333333333333333,0
герметик для колес 450мл,3,3,2,1,389,0.6666666666666666,0.5,0.3333333333333333,0
torx 35,3,3,2,1,30,0.6666666666666666,0.5,0.3333333333333333,0
разборная арка для роз ооо ярмарка-тверь зеленая, диам. 48 см т520,3,3,1,1,2682,0.3333333333333333,1,0.3333333333333333,0
задвижка amig мод. 388-50 бронза 6456,3,3,1,1,495,0.3333333333333333,1,0.3333333333333333,0
бетономешалка 120,3,3,2,2,25892,0.6666666666666666,1,0.6666666666666666,0
торцевая площадка пластмассовая, вертикальная выход 110 х 55 мм эвент тпп 511 в,3,3,1,1,200,0.3333333333333333,1,0.3333333333333333,0
в510-04,3,3,1,1,621,0.3333333333333333,1,0.3333333333333333,0
нож труд-вача макс сабельная фаска 120/225 мм с764,3,2,2,1,157,0.6666666666666666,0.5,0.3333333333333333,0
комплект керамических форсунок для пескоструйных аппаратов сорокин 800.6,3,3,1,1,800,0.3333333333333333,1,0.3333333333333333,0
ситечко для ванной,3,3,2,1,74,0.6666666666666666,0.5,0.3333333333333333,0
фитинг т-образный put 6 nbpt 51214,3,2,1,1,69,0.3333333333333333,1,0.3333333333333333,0
электрический кабель пгввп (шввп) вэкз 2x1,5 мм2 гост (50 м) 43812,3,3,3,1,3392,0.6666666666666666,0.3333333333333333,0.3333333333333333,0
16163995,3,3,2,1,72,0.6666666666666666,0.5,0.3333333333333333,0
труба для бесшумной канализации ostendorf skem dn100х250 мм, ger 335010,3,2,1,1,779,0.3333333333333333,1,0.3333333333333333,0
червячный хомут mgf 8-12/9 w2 1-1-9-2-08-12,3,3,2,1,20,0.6666666666666666,0.5,0.3333333333333333,0
classic пластик, с 2-мя ручками, 20 л, синяя 1717037,3,3,1,1,413,0.3333333333333333,1,0.3333333333333333,0
кабель канал 100*60,3,3,2,1,2492,0.6666666666666666,0.5,0.3333333333333333,0
соединители,3,3,1,1,29,0.3333333333333333,1,0.3333333333333333,0
алфавит защиты,3,3,1,1,288,0.3333333333333333,1,0.3333333333333333,0
угольник rvc 16 х 1/2" ц/г rc 00685,3,2,3,2,507,1,0.6666666666666666,0.6666666666666666,0
канистра гсм классик 10 л oktan kga1-01-02,3,3,1,1,513,0.3333333333333333,1,0.3333333333333333,0
горчичный жмых зеленый уголок 5 кг 4660001293823,3,3,2,1,620,0.3333333333333333,0.5,0.3333333333333333,0
светодиодная лампа saffit sbmr1609 9w gu10 4000k 230v mr16 55149,3,3,1,1,252,0.3333333333333333,1,0.3333333333333333,0
решетка forester,2,2,2,2,2717,0.5,0.5,0.5,0
концевой выключатель ekf tz-310,2,2,1,1,364,0.5,1,0.5,0
кислый торф лама торф 10 л 4677878720512,2,2,2,1,166,0.5,0.5,0.5,0
болт с внутренним шестигранником виртуоз 6x25 мм, din 912, нержавеющая сталь а2, 4 шт. 39587,2,2,1,1,1080,0.5,1,0.5,0
17918665,2,2,1,1,32,0.5,1,0.5,0
медная мягкая луженая проволока торкабель ммл 0,80 20м 0749524536618,2,2,1,1,437,0.5,1,0.5,0
шестигранный удлинитель mpf 1/2" х 15 мм ис.071978,2,2,1,1,188,0.5,1,0.5,0
блок зажимов электротехник тв-2506, 25а, 6 клеммных пар, ip30 et522086,2,2,2,1,495,0.5,0.5,0.5,0
масло gear oil, sae 80w-90, api gl-5, 1 л gt oil 8809059407844,2,2,1,1,1035,0.5,1,0.5,0
клещи для пружинных хамутов,2,1,2,1,1800,1,0.5,0.5,0
лампа люминесцентная camelion ft8-18w/33 4200k 5875,2,2,1,1,207,0.5,1,0.5,0
наголовник,2,2,1,1,516,0.5,1,0.5,0
комбинированная муфта valfex pp-r белая, 20х3/4 дюйма нр 10130120 127-0239,2,2,1,1,172,0.5,1,0.5,0
обжимные клещи для обжима коннекторов и зачистки витой пары 5bites rj-45 8p8c ly-t210c,2,2,1,1,331,0.5,1,0.5,0
эмиттерная капельная лента green helper шаг 20 см, 100 м dt02160620160-100,2,2,1,1,824,0.5,1,0.5,0
лазерный построитель плоскостей arma at-2d,2,2,1,1,2208,0.5,1,0.5,0
трещоточный шарнирный двусторонний ключ дело техники 17х19 мм 515819,2,2,1,1,776,0.5,1,0.5,0
накладной светильник elektrostandard dln101 gu10 wh белый a043967,2,2,1,1,11284,0.5,1,0.5,0
евроконус переходник,2,1,2,1,549,1,0.5,0.5,0
щетка чашечная 65 мм, m14, нейлон 1.2 мм debever db80170693,2,2,1,1,938,0.5,1,0.5,0
шланг поливочный армированный 3/4,2,2,1,1,1229,0.5,1,0.5,0
гидроаккумулятор 500,2,2,1,1,59685,0.5,1,0.5,0
люминесцентная линейная двухцокольная лампа tdm лл-12/30вт 6500 к sq0355-0014,2,2,1,1,229,0.5,1,0.5,0
свенсена,2,2,1,1,1579,0.5,1,0.5,0
колено 150,2,2,1,1,265,0.5,1,0.5,0
набор твердосплавных фрез по дереву,2,2,1,1,6389,0.5,1,0.5,0
бр2,2,2,2,1,3614,1,0.5,0.5,0
фильтр для стиральной машинки,2,2,1,1,347,0.5,1,0.5,0
выпуск aquant 3 1/2" с металлической реш. с отводом под перелив nv250-40-mr,2,2,2,1,679,1,0.5,0.5,0
переходник 6/6 профессионал 0020,2,2,1,1,62,0.5,1,0.5,0
кофеварка centek steel капельная 900 вт, 1800 мл, капля стоп, подогрев, съемный фильтр ct-1147,2,2,1,1,2730,0.5,1,0.5,0
набор универсальный для утапливания поршней тормозного цилиндра, 8 предметов дело техники 820008,2,2,1,1,1928,0.5,1,0.5,0
двойная биозащита зао "антисептик" хмбб 10 литров 00-00003729,2,2,1,1,773,0.5,1,0.5,0
бур 6х160 мм,2,2,1,1,137,0.5,1,0.5,0
lezard vesna черный,2,2,1,1,150,0.5,1,0.5,0
гидроаккумулятор расширительный uni-fitt бак 12 л, для водоснабжения, вертикальный wav12-u,2,2,1,1,2062,0.5,1,0.5,0
салат гавриш экспромт полевой 0,5 г 1071856613,2,2,1,1,23,0.5,1,0.5,0
диск отрезной 0.8мм,2,2,1,1,24,0.5,1,0.5,0
фонарь облик 8221 ут-00000213,2,2,1,1,884,0.5,1,0.5,0
плоская шайба starfix м8 нержавеющая сталь, din 125, 10 шт. smz1-66536-10,2,2,1,1,450,0.5,1,0.5,0
торцевая головка 21,2,2,1,1,95,0.5,1,0.5,0
2-клавишный выключатель systeme electric atlasdesign 10ах, алюминий atn000351,2,2,2,1,313,1,0.5,0.5,0
бита 3 лучевая,2,2,2,1,101,0.5,0.5,0.5,0
герметики полисилоксановые,2,2,3,1,2171,1,0.3333333333333333,0.5,0
соединитель valtec пресс с переходом на  внутреннюю резьбу 20х1/2 vtm.202.n.002004,2,2,2,1,233,1,0.5,0.5,0
насадка impact ph2 2 шт, 50 мм, е-form makita b-63725,2,2,1,1,220,0.5,1,0.5,0
лампа светодиодная е 27,2,2,1,1,174,0.5,1,0.5,0
вороток г образный 1/2,2,2,1,1,520,0.5,1,0.5,0
садовые ножницы kolner ks 22 8091100130,2,2,1,1,671,0.5,1,0.5,0
лампа gauss led g9 ac185-265v 5w 500lm 2700k керамика 107309105,2,2,1,1,359,0.5,1,0.5,0
трещетка для клупа,2,2,1,1,1367,0.5,1,0.5,0
плашка м 9 х1.25 9хс hortz 204005,2,2,1,1,145,0.5,1,0.5,0
маска patriot,2,2,1,1,1231,0.5,1,0.5,0
рамка legrand etika 2 поста слоновая кость leg 672512,2,2,1,1,666,0.5,1,0.5,0
184422753,2,1,2,1,164,1,0.5,0.5,0
крепеж для терасной доски,2,2,3,1,4840,1,0.3333333333333333,0.5,0
ручка для москитной сетки европартнер 2 шт. 15 3218 11,2,2,1,1,38,0.5,1,0.5,0
структурный валик virtus горошек 250 мм 010304250,2,2,2,1,577,1,0.5,0.5,0
дренажный насос с измельчителем,2,2,1,1,17070,0.5,1,0.5,0
