Запрос;Кол-во сессий с поиском;Кол-во пользователей поиска;Сесиий с добавлением;Кол-во заказов с поиска;GMV поиска;CR в добавление;Доля переходов корзина - заказ;CR с поиска в заказ;Кол-во символов в строке;;;;;;;;;;;;;;;;;;;;;;;;;;
душевая кабина maroni air 80x80x217, сифон d90мм sr80l-gls-dn4 465929;28;25;4;1;22180;0.14285714285714285;0.25;0.03571428571428571;69;;;;;;;;;;;;;;;;;;;;;;;;;;
пневмо домкрат;28;26;5;1;12139;0.17857142857142858;0.2;0.03571428571428571;14;;;;;;;;;;;;;;;;;;;;;;;;;;
магнитные пускатели с кнопками пуск стоп;28;28;1;0;-;0.03571428571428571;0;0;40;;;;;;;;;;;;;;;;;;;;;;;;;;
ключ с трещоткой;28;28;7;1;2820;0.17857142857142858;0.14285714285714285;0.03571428571428571;16;;;;;;;;;;;;;;;;;;;;;;;;;;
универсальный грунт kudo серый 520 мл ku-2001;28;28;14;8;13641;0.4642857142857143;0.5;0.25;45;;;;;;;;;;;;;;;;;;;;;;;;;;
кабель ввг нг;28;25;13;5;110402;0.25;0.3076923076923077;0.14285714285714285;13;;;;;;;;;;;;;;;;;;;;;;;;;;
электроудлинитель;28;27;0;0;-;0;-;0;17;;;;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила белмаш belmash ms b-305h s219a;28;26;7;2;64046;0.25;0.2857142857142857;0.07142857142857142;47;;;;;;;;;;;;;;;;;;;;;;;;;;
газовая горелка на баллон вихрь нг-1п 73/5/5/1;28;25;6;3;5237;0.21428571428571427;0.5;0.10714285714285714;46;;;;;;;;;;;;;;;;;;;;;;;;;;
набор шестигранник;28;28;10;3;4276;0.35714285714285715;0.3;0.10714285714285714;18;;;;;;;;;;;;;;;;;;;;;;;;;;
сушилка для овощей;28;27;1;0;-;0.03571428571428571;0;0;18;;;;;;;;;;;;;;;;;;;;;;;;;;
хомуты червячные;28;28;4;1;132;0.10714285714285714;0.25;0.03571428571428571;16;;;;;;;;;;;;;;;;;;;;;;;;;;
растворитель р-5;28;25;17;10;42062;0.4642857142857143;0.4117647058823529;0.25;16;;;;;;;;;;;;;;;;;;;;;;;;;;
набор ударных отверток jonnesway d70pp10s;28;25;10;3;34017;0.35714285714285715;0.3;0.10714285714285714;41;;;;;;;;;;;;;;;;;;;;;;;;;;
бесщеточная болгарка kingqueen 125 мм, акб kq-yj803a;28;28;8;6;35159;0.25;0.625;0.17857142857142858;52;;;;;;;;;;;;;;;;;;;;;;;;;;
"футорка переходник 3/4"" х 1/2"" н/в mpf ис.072204";28;28;11;4;778;0.39285714285714285;0.36363636363636365;0.14285714285714285;48;;;;;;;;;;;;;;;;;;;;;;;;;;
шарнирный вороток 1/2 berger bg2294;28;28;5;3;3048;0.17857142857142858;0.6;0.10714285714285714;35;;;;;;;;;;;;;;;;;;;;;;;;;;
профессиональный набор инструментов 219 предметов av steel av-011219;28;28;5;2;24684;0.14285714285714285;0.4;0.07142857142857142;68;;;;;;;;;;;;;;;;;;;;;;;;;;
prompower;28;28;0;0;-;0;-;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
круг отрезной по металлу (125х22х1 мм) вихрь 73/1/3/27;28;27;10;6;5605;0.25;0.4;0.14285714285714285;54;;;;;;;;;;;;;;;;;;;;;;;;;;
безворсовые;28;23;10;2;904;0.25;0.2;0.07142857142857142;11;;;;;;;;;;;;;;;;;;;;;;;;;;
газоанализатор квт kt 601 ecoline 79143;28;28;12;3;18481;0.42857142857142855;0.25;0.10714285714285714;39;;;;;;;;;;;;;;;;;;;;;;;;;;
тарелка опорная для ушм (м14;;;;;;;;;28;;;;;;;;;;;;;;;;;;;;;;;;;;
ручной фонарь;28;25;1;0;-;0.03571428571428571;0;0;13;;;;;;;;;;;;;;;;;;;;;;;;;;
двигатель асинхронный;28;23;0;0;-;0;-;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;
набор сверл под резьбу по металлу, 10 шт. туламаш 72662;28;28;7;3;4099;0.25;0.42857142857142855;0.10714285714285714;55;;;;;;;;;;;;;;;;;;;;;;;;;;
клей cosmofen;28;28;11;3;25054;0.35714285714285715;0.2727272727272727;0.10714285714285714;13;;;;;;;;;;;;;;;;;;;;;;;;;;
цифровой уровень/угломер ada pro-digit rumb а00481;28;28;3;2;3850;0.10714285714285714;0.6666666666666666;0.07142857142857142;50;;;;;;;;;;;;;;;;;;;;;;;;;;
масло синтетическое (atf sp 4;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;
автомобильный шприц fit 64951;28;27;0;0;-;0;-;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;
профессиональная щетка сибртех 500 мм 84624;28;25;5;3;2486;0.17857142857142858;0.6;0.10714285714285714;43;;;;;;;;;;;;;;;;;;;;;;;;;;
19811548;28;28;12;8;15817;0.35714285714285715;0.5833333333333334;0.25;8;;;;;;;;;;;;;;;;;;;;;;;;;;
bull;28;28;0;0;-;0;-;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумуляторная электропила huter els-40-4 li в комплекте с акб и зу 70/10/25;28;27;1;1;20490;0.03571428571428571;1;0.03571428571428571;76;;;;;;;;;;;;;;;;;;;;;;;;;;
сверло 11мм;28;22;14;3;658;0.42857142857142855;0.21428571428571427;0.10714285714285714;11;;;;;;;;;;;;;;;;;;;;;;;;;;
шпиличник;28;27;4;2;21529;0.10714285714285714;0.5;0.07142857142857142;9;;;;;;;;;;;;;;;;;;;;;;;;;;
пневматический пистолет для распыляемых герметиков в картриджах русский мастер gs3 рм-58666;28;28;4;2;12112;0.14285714285714285;0.5;0.07142857142857142;91;;;;;;;;;;;;;;;;;;;;;;;;;;
15878110;28;27;11;7;12572;0.35714285714285715;0.6363636363636364;0.25;8;;;;;;;;;;;;;;;;;;;;;;;;;;
torgwin;28;28;6;1;579;0.03571428571428571;0.16666666666666666;0.03571428571428571;7;;;;;;;;;;;;;;;;;;;;;;;;;;
vpk;28;15;0;0;-;0;-;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;
силовой хомут nord-yada д: 52-55 мм, ш: 22 мм, т: 1,2 мм, болт: м6х55, оцинкованная сталь 905994;28;27;7;4;5194;0.25;0.5714285714285714;0.14285714285714285;96;;;;;;;;;;;;;;;;;;;;;;;;;;
5008mg;28;25;4;3;62970;0.07142857142857142;0.25;0.03571428571428571;6;;;;;;;;;;;;;;;;;;;;;;;;;;
воздушный поршневой компрессор electrolite 320/50 el 320 л/мин, 2000 вт, 8 атм, электрический, 2850 об./мин, 220в, передвижной, 19.2 м3/ч 5041;28;26;4;1;12667;0.14285714285714285;0.25;0.03571428571428571;142;;;;;;;;;;;;;;;;;;;;;;;;;;
низкооборотистая дрель sturm id20165m;28;27;3;2;25041;0.10714285714285714;0.6666666666666666;0.07142857142857142;37;;;;;;;;;;;;;;;;;;;;;;;;;;
бита т10;28;27;10;2;2274;0.2857142857142857;0.2;0.07142857142857142;8;;;;;;;;;;;;;;;;;;;;;;;;;;
настенная однофазная каучуковая розетка с заглушкой universal 602229;28;28;2;1;189;0.07142857142857142;0.5;0.03571428571428571;68;;;;;;;;;;;;;;;;;;;;;;;;;;
15077325;28;25;6;3;9062;0.21428571428571427;0.5;0.10714285714285714;8;;;;;;;;;;;;;;;;;;;;;;;;;;
коллекторы;28;28;3;0;-;0.10714285714285714;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;
угольник ростерм пп d32 90гр. angppr32-90;28;27;12;4;551;0.39285714285714285;0.3333333333333333;0.14285714285714285;41;;;;;;;;;;;;;;;;;;;;;;;;;;
расцепители и реле дистанционного отключения;28;26;3;1;1979;0.10714285714285714;0.3333333333333333;0.03571428571428571;44;;;;;;;;;;;;;;;;;;;;;;;;;;
наконечник квт ншви2 2,5-10 79468;28;28;10;7;2252;0.35714285714285715;0.7;0.25;33;;;;;;;;;;;;;;;;;;;;;;;;;;
алкалиновые батарейки gp super alkaline 24а ааa - 5+5 шт. 24a5/5-2cr10;28;28;10;3;1249;0.35714285714285715;0.3;0.10714285714285714;70;;;;;;;;;;;;;;;;;;;;;;;;;;
pingo;28;28;16;8;18700;0.5357142857142857;0.5;0.2857142857142857;5;;;;;;;;;;;;;;;;;;;;;;;;;;
валик для грунтовки;28;27;18;0;-;0.39285714285714285;0;0;19;;;;;;;;;;;;;;;;;;;;;;;;;;
комбинезон малярный;28;27;19;8;33353;0.5;0.42105263157894735;0.2857142857142857;19;;;;;;;;;;;;;;;;;;;;;;;;;;
рыболовное кресло norfin windsor nf;28;27;1;0;-;0.03571428571428571;0;0;35;;;;;;;;;;;;;;;;;;;;;;;;;;
клей эдп;28;24;8;3;2433;0.25;0.375;0.10714285714285714;8;;;;;;;;;;;;;;;;;;;;;;;;;;
кнопка выход;28;23;8;2;4134;0.2857142857142857;0.25;0.07142857142857142;12;;;;;;;;;;;;;;;;;;;;;;;;;;
батарейный отсек;28;27;11;5;714;0.35714285714285715;0.45454545454545453;0.17857142857142858;16;;;;;;;;;;;;;;;;;;;;;;;;;;
лотки для метизов;28;25;17;5;10336;0.39285714285714285;0.29411764705882354;0.17857142857142858;17;;;;;;;;;;;;;;;;;;;;;;;;;;
16754593;28;26;4;2;52728;0.14285714285714285;0.5;0.07142857142857142;8;;;;;;;;;;;;;;;;;;;;;;;;;;
bitumast;28;27;5;1;2170;0.10714285714285714;0.2;0.03571428571428571;8;;;;;;;;;;;;;;;;;;;;;;;;;;
ezviz;28;27;0;0;-;0;-;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;
регулятор температуры;28;27;4;3;7568;0.10714285714285714;0.5;0.07142857142857142;21;;;;;;;;;;;;;;;;;;;;;;;;;;
стальные лестницы;28;28;10;4;17583;0.32142857142857145;0.4;0.14285714285714285;17;;;;;;;;;;;;;;;;;;;;;;;;;;
прижимы;28;28;0;0;-;0;-;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;
слюда;28;27;0;0;-;0;-;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;
портативный вибратор zitrek zkvd1500 220в, вал 1,5 м, со встроенной булавой ф-35 мм 045-0038;28;27;2;2;16132;0.07142857142857142;1;0.07142857142857142;92;;;;;;;;;;;;;;;;;;;;;;;;;;
меркурий 236;28;21;2;2;9426;0.07142857142857142;1;0.07142857142857142;12;;;;;;;;;;;;;;;;;;;;;;;;;;
коллектор манометрический со шлангами и муфтами в кейсе nordberg nfg30k;28;28;6;5;36540;0.21428571428571427;0.8333333333333334;0.17857142857142858;71;;;;;;;;;;;;;;;;;;;;;;;;;;
регулятор скорости вентилятора;28;24;4;0;-;0.10714285714285714;0;0;30;;;;;;;;;;;;;;;;;;;;;;;;;;
masterteks;28;27;2;0;-;0.07142857142857142;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;
meine liebe;28;26;10;2;877;0.14285714285714285;0.2;0.07142857142857142;11;;;;;;;;;;;;;;;;;;;;;;;;;;
тросы;28;28;5;2;1933;0.17857142857142858;0.4;0.07142857142857142;5;;;;;;;;;;;;;;;;;;;;;;;;;;
18834654;28;27;3;0;-;0.10714285714285714;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
15992203;28;27;7;3;7972;0.17857142857142858;0.42857142857142855;0.10714285714285714;8;;;;;;;;;;;;;;;;;;;;;;;;;;
15933620;28;28;4;2;8440;0.10714285714285714;0.5;0.07142857142857142;8;;;;;;;;;;;;;;;;;;;;;;;;;;
perfeo;28;22;2;1;106;0.07142857142857142;0.5;0.03571428571428571;6;;;;;;;;;;;;;;;;;;;;;;;;;;
бесщеточный перфоратор зубр профессионал 20в pb-260-42;28;28;5;1;50578;0.17857142857142858;0.2;0.03571428571428571;54;;;;;;;;;;;;;;;;;;;;;;;;;;
коврик для душа;28;23;4;2;14443;0.10714285714285714;0.5;0.07142857142857142;15;;;;;;;;;;;;;;;;;;;;;;;;;;
выключатель на провод;28;28;20;12;1170;0.5714285714285714;0.6;0.42857142857142855;21;;;;;;;;;;;;;;;;;;;;;;;;;;
набор головок торкс;28;27;10;2;1692;0.25;0.2;0.07142857142857142;19;;;;;;;;;;;;;;;;;;;;;;;;;;
ремонтный хомут;28;25;3;1;373;0.10714285714285714;0.3333333333333333;0.03571428571428571;15;;;;;;;;;;;;;;;;;;;;;;;;;;
23063349;28;25;5;5;24940;0.14285714285714285;0.8;0.14285714285714285;8;;;;;;;;;;;;;;;;;;;;;;;;;;
краска для дорожной разметки ленинградка ак-511 10 кг, белый ут000010687;28;26;10;5;33389;0.35714285714285715;0.5;0.17857142857142858;72;;;;;;;;;;;;;;;;;;;;;;;;;;
рулетка с автостопом kraftool autostop 3 м 3412-3-16;28;28;8;5;3832;0.2857142857142857;0.625;0.17857142857142858;52;;;;;;;;;;;;;;;;;;;;;;;;;;
углозащитная лента (углоформирующая);28;27;14;6;11673;0.32142857142857145;0.42857142857142855;0.21428571428571427;36;;;;;;;;;;;;;;;;;;;;;;;;;;
строительный лом 1,2 м ф 30 мм gigant g-24 (россия);28;27;7;4;10873;0.21428571428571427;0.5714285714285714;0.14285714285714285;51;;;;;;;;;;;;;;;;;;;;;;;;;;
сумка hanskonner hktb0138;28;28;1;0;-;0.03571428571428571;0;0;25;;;;;;;;;;;;;;;;;;;;;;;;;;
ложка для обуви;28;27;12;5;2917;0.32142857142857145;0.4166666666666667;0.17857142857142858;15;;;;;;;;;;;;;;;;;;;;;;;;;;
редуктор пропановый бпо-5 gigant gt-116;28;28;7;4;4960;0.25;0.5714285714285714;0.14285714285714285;39;;;;;;;;;;;;;;;;;;;;;;;;;;
16013676;28;27;12;6;17420;0.35714285714285715;0.5;0.21428571428571427;8;;;;;;;;;;;;;;;;;;;;;;;;;;
литиевая дисковая батарейка gp lithium cr2450 - 1 шт. в блистере. cr2450-2c1;28;27;8;4;4008;0.25;0.5;0.14285714285714285;76;;;;;;;;;;;;;;;;;;;;;;;;;;
для кондиционера;28;26;0;0;-;0;-;0;16;;;;;;;;;;;;;;;;;;;;;;;;;;
мотокультиватор huter gmc-1.8 70/5/3;28;25;2;0;-;0.07142857142857142;0;0;36;;;;;;;;;;;;;;;;;;;;;;;;;;
снегозадержатель;28;24;8;1;2329;0.14285714285714285;0.125;0.03571428571428571;16;;;;;;;;;;;;;;;;;;;;;;;;;;
роликовый арматурогиб сибртех до 12 мм 18121;28;27;5;1;2297;0.17857142857142858;0.2;0.03571428571428571;44;;;;;;;;;;;;;;;;;;;;;;;;;;
gsn50e;28;27;4;4;145314;0.14285714285714285;1;0.14285714285714285;6;;;;;;;;;;;;;;;;;;;;;;;;;;
контргайка 3/4;28;26;17;6;4441;0.5357142857142857;0.35294117647058826;0.21428571428571427;14;;;;;;;;;;;;;;;;;;;;;;;;;;
15913347;28;28;10;6;30271;0.21428571428571427;0.3;0.10714285714285714;8;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумуляторный налобный фонарь космос 3w led li-ion аккумулятор 479295 koch3wli-on;28;25;14;8;34919;0.42857142857142855;0.5714285714285714;0.2857142857142857;82;;;;;;;;;;;;;;;;;;;;;;;;;;
профилометры;28;27;1;1;690;0.03571428571428571;1;0.03571428571428571;12;;;;;;;;;;;;;;;;;;;;;;;;;;
подшипник 6200;28;26;7;5;4215;0.17857142857142858;0.5714285714285714;0.14285714285714285;14;;;;;;;;;;;;;;;;;;;;;;;;;;
ключ гаечный разводной;28;25;2;1;1998;0.07142857142857142;0.5;0.03571428571428571;22;;;;;;;;;;;;;;;;;;;;;;;;;;
изолента пвх 15мм, 20м, белая iek иэк uiz-13-10-k01;28;28;10;7;6137;0.35714285714285715;0.7;0.25;51;;;;;;;;;;;;;;;;;;;;;;;;;;
17212758;28;26;3;0;-;0.10714285714285714;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
гибкий круглый кабель элпрокабель кгтп 3x2,5 гост 50 м 4630017899135;28;28;10;4;52866;0.2857142857142857;0.4;0.14285714285714285;68;;;;;;;;;;;;;;;;;;;;;;;;;;
рокот;28;28;0;0;-;0;-;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;
гайковерт аккумуляторный ударный zitrek crusher 20-li (20в, li-ion 2x6.0ач, з/у, кейс) 063-4372;28;28;3;2;15105;0.07142857142857142;0.3333333333333333;0.03571428571428571;95;;;;;;;;;;;;;;;;;;;;;;;;;;
моторное масло sintec platinum 7000 5w-40, sn/cf, синтетическое, 4 л 600139;28;27;12;7;14974;0.32142857142857145;0.5833333333333334;0.25;75;;;;;;;;;;;;;;;;;;;;;;;;;;
paulmark;28;22;15;1;10490;0.21428571428571427;0.06666666666666667;0.03571428571428571;8;;;;;;;;;;;;;;;;;;;;;;;;;;
вытяжные заклепки алюминий-алюминий;28;27;15;4;1618;0.2857142857142857;0.26666666666666666;0.14285714285714285;35;;;;;;;;;;;;;;;;;;;;;;;;;;
набор диэлектрического инструмента квт профи нии 18 73301;28;26;12;3;61069;0.39285714285714285;0.25;0.10714285714285714;57;;;;;;;;;;;;;;;;;;;;;;;;;;
универсальный топор fiskars 0,64 кг x7 1015618;28;27;8;5;48159;0.2857142857142857;0.625;0.17857142857142858;46;;;;;;;;;;;;;;;;;;;;;;;;;;
cdthkbkmysq cnfyjr;28;28;5;2;24180;0.17857142857142858;0.4;0.07142857142857142;18;;;;;;;;;;;;;;;;;;;;;;;;;;
промышленные компоненты;28;28;2;0;-;0.03571428571428571;0;0;23;;;;;;;;;;;;;;;;;;;;;;;;;;
планка для смесителя ростерм d20х1/2 вр;28;26;4;1;996;0.14285714285714285;0.25;0.03571428571428571;39;;;;;;;;;;;;;;;;;;;;;;;;;;
сверло 12,5;28;27;13;4;2294;0.39285714285714285;0.3076923076923077;0.14285714285714285;11;;;;;;;;;;;;;;;;;;;;;;;;;;
террако;28;2;0;0;-;0;-;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;
биты hex;28;28;3;1;303;0.07142857142857142;0.3333333333333333;0.03571428571428571;8;;;;;;;;;;;;;;;;;;;;;;;;;;
скотч универсальный oxiss 48/66/45 прозрачный 4630025428556;28;28;1;1;158;0.03571428571428571;1;0.03571428571428571;59;;;;;;;;;;;;;;;;;;;;;;;;;;
активатор клея;28;26;12;6;18884;0.39285714285714285;0.5;0.21428571428571427;14;;;;;;;;;;;;;;;;;;;;;;;;;;
"набор быстросъемных соединений 3 шт (быстросъем авт. елка 10мм, штуцер нар 1/4"", штуцер внутр.1/4"") pegas pneumatic 3220";28;28;7;5;4339;0.25;0.7142857142857143;0.17857142857142858;120;;;;;;;;;;;;;;;;;;;;;;;;;;
т трек;28;27;0;0;-;0;-;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;
лампа паяльная;28;27;4;1;2154;0.14285714285714285;0.25;0.03571428571428571;14;;;;;;;;;;;;;;;;;;;;;;;;;;
алюминиевое правило трапеция сибртех 1 ребро жесткости, 1.5м 89608;28;28;7;4;1690;0.25;0.5714285714285714;0.14285714285714285;66;;;;;;;;;;;;;;;;;;;;;;;;;;
алкалиновая батарейка трофи lr6-4s promo-box б0017350;28;28;10;9;2693;0.2857142857142857;0.7;0.25;53;;;;;;;;;;;;;;;;;;;;;;;;;;
болт м30;28;27;0;0;-;0;-;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
заточной круг;28;27;14;1;690;0.25;0.07142857142857142;0.03571428571428571;13;;;;;;;;;;;;;;;;;;;;;;;;;;
гвозди по бетону toua eg bullet point 3,05х32 мм, 1000 шт. 30532stepeg;28;27;8;4;13110;0.2857142857142857;0.5;0.14285714285714285;70;;;;;;;;;;;;;;;;;;;;;;;;;;
термоусаживаемая трубка rexant 10,0/5,0 мм черная, ролик 2,44 м 29-0056;28;26;15;11;3687;0.5357142857142857;0.7333333333333333;0.39285714285714285;71;;;;;;;;;;;;;;;;;;;;;;;;;;
кабель ввг, ввгнг 4х1,5 мм2;28;28;7;3;14028;0.21428571428571427;0.42857142857142855;0.10714285714285714;27;;;;;;;;;;;;;;;;;;;;;;;;;;
грунт-эмаль 3 в 1;28;25;12;0;-;0.14285714285714285;0;0;17;;;;;;;;;;;;;;;;;;;;;;;;;;
наждачный станок;28;27;0;0;-;0;-;0;16;;;;;;;;;;;;;;;;;;;;;;;;;;
лезвия для канцелярского ножа;28;27;18;11;2223;0.5;0.5;0.32142857142857145;29;;;;;;;;;;;;;;;;;;;;;;;;;;
хлебницы;28;28;10;4;6706;0.35714285714285715;0.4;0.14285714285714285;8;;;;;;;;;;;;;;;;;;;;;;;;;;
однофазный стабилизатор переменного напряжения  штиль инстаб is7000;28;27;9;7;487749;0.2857142857142857;0.6666666666666666;0.21428571428571427;67;;;;;;;;;;;;;;;;;;;;;;;;;;
электрический культиватор gigant 1050 вт gtver-02;28;28;2;0;-;0.07142857142857142;0;0;49;;;;;;;;;;;;;;;;;;;;;;;;;;
светодиодная лампочка;28;28;9;1;6984;0.17857142857142858;0.1111111111111111;0.03571428571428571;21;;;;;;;;;;;;;;;;;;;;;;;;;;
электрический сучкорез;28;26;2;0;-;0.03571428571428571;0;0;22;;;;;;;;;;;;;;;;;;;;;;;;;;
хомуты для водосточных труб;28;27;4;2;1158;0.14285714285714285;0.5;0.07142857142857142;27;;;;;;;;;;;;;;;;;;;;;;;;;;
16071452;28;28;6;4;59498;0.21428571428571427;0.6666666666666666;0.14285714285714285;8;;;;;;;;;;;;;;;;;;;;;;;;;;
пескосмесь;28;24;5;1;1596;0.14285714285714285;0.2;0.03571428571428571;10;;;;;;;;;;;;;;;;;;;;;;;;;;
щетки сметки;28;27;13;3;1909;0.2857142857142857;0.23076923076923078;0.10714285714285714;12;;;;;;;;;;;;;;;;;;;;;;;;;;
фиксатор резьбы kerry неразъёмный, термостойкий, красный, 6 мл 11604684;28;28;15;6;4365;0.5357142857142857;0.4;0.21428571428571427;71;;;;;;;;;;;;;;;;;;;;;;;;;;
садовый аккумуляторный опрыскиватель deko dksp09 5 л 065-0941;28;26;2;0;-;0.07142857142857142;0;0;61;;;;;;;;;;;;;;;;;;;;;;;;;;
силиконовый санитарный герметик момент гермент прозрачный 280 мл б0022959 1998756;28;25;12;3;7188;0.42857142857142855;0.25;0.10714285714285714;81;;;;;;;;;;;;;;;;;;;;;;;;;;
фильтр karcher;28;27;1;0;-;0.03571428571428571;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
съемник пружин;28;27;5;0;-;0.14285714285714285;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
